index,Username,Intent,trial,firebase,gestures,gesture_num
126,Wfan,A,10,WfanA,C,3
127,Wfan,A,10,WfanA,D,4
128,Wfan,A,10,WfanA,C,3
129,Wfan,A,10,WfanA,B,2
130,Wfan,A,10,WfanA,D,4
131,Wfan,A,10,WfanA,C,3
132,Wfan,B,11,WfanB,A,1
133,Wfan,B,11,WfanB,A,1
134,Wfan,B,11,WfanB,C,3
135,Wfan,B,11,WfanB,C,3
136,Wfan,B,11,WfanB,B,2
137,Wfan,B,11,WfanB,D,4
138,Wfan,B,11,WfanB,D,4
139,Wfan,B,11,WfanB,A,1
140,Wfan,B,11,WfanB,B,2
141,Wfan,B,11,WfanB,C,3
142,Wfan,B,11,WfanB,B,2
143,Wfan,B,11,WfanB,D,4
144,Ale,A,12,AleA,D,4
145,Ale,A,12,AleA,C,3
146,Ale,A,12,AleA,B,2
147,Ale,A,12,AleA,D,4
148,Ale,A,12,AleA,B,2
149,Ale,A,12,AleA,D,4
150,Ale,A,12,AleA,C,3
151,Ale,A,12,AleA,B,2
152,Ale,A,12,AleA,A,1
153,Ale,A,12,AleA,A,1
154,Ale,A,12,AleA,C,3
155,Ale,A,12,AleA,A,1
156,Echen1,B,13,Echen1B,B,2
157,Echen1,B,13,Echen1B,A,1
158,Echen1,B,13,Echen1B,D,4
159,Echen1,B,13,Echen1B,A,1
160,Echen1,B,13,Echen1B,B,2
161,Echen1,B,13,Echen1B,B,2
162,Echen1,B,13,Echen1B,C,3
163,Echen1,B,13,Echen1B,A,1
164,Echen1,B,13,Echen1B,D,4
165,Echen1,B,13,Echen1B,D,4
166,Echen1,B,13,Echen1B,C,3
167,Echen1,B,13,Echen1B,C,3
168,Solomiia,A,14,SolomiiaA,C,3
169,Solomiia,A,14,SolomiiaA,B,2
170,Solomiia,A,14,SolomiiaA,A,1
171,Solomiia,A,14,SolomiiaA,D,4
172,Solomiia,A,14,SolomiiaA,B,2
173,Solomiia,A,14,SolomiiaA,A,1
174,Solomiia,A,14,SolomiiaA,C,3
175,Solomiia,A,14,SolomiiaA,B,2
176,Solomiia,A,14,SolomiiaA,D,4
177,Solomiia,A,14,SolomiiaA,D,4
178,Solomiia,A,14,SolomiiaA,C,3
179,Solomiia,A,14,SolomiiaA,A,1
180,Solomiia,B,15,SolomiiaB,B,2
181,Solomiia,B,15,SolomiiaB,B,2
182,Solomiia,B,15,SolomiiaB,A,1
183,Solomiia,B,15,SolomiiaB,C,3
184,Solomiia,B,15,SolomiiaB,D,4
185,Solomiia,B,15,SolomiiaB,B,2
186,Solomiia,B,15,SolomiiaB,C,3
187,Solomiia,B,15,SolomiiaB,D,4
188,Solomiia,B,15,SolomiiaB,A,1
189,Solomiia,B,15,SolomiiaB,A,1
190,Solomiia,B,15,SolomiiaB,C,3
191,Solomiia,B,15,SolomiiaB,D,4
